key,jp,en,ru
phrase1,疲れた……。,,
phrase2,マリアは図書室の片隅で机に突っ伏していた。,,
phrase3,期末試験が終わって,,
phrase4,やっと一段落したと思ったのに……。,,
phrase5,マリアが思い出すのは,,
phrase6,第四王子アラン・スティアートだ。,,
phrase7,双子の兄であるジオルドだけでなく,,
phrase8,女で平民のマリアにも試験結果が及ばなかったことで,,
phrase9,アランはささくれ立っていた。,,
phrase10,顔を合わせるたびに、キツイこと,,
phrase11,言われちゃうんだよね……。,,
phrase12,しかし、それは悔しさからの言葉であり,,
phrase13,カタリナのような悪意をぶつけられているのではない,,
phrase14,とはわかっている。,,
phrase15,自分の存在がアランのストレスになるのなら、,,
phrase16,マリアはアランを避けた方がいいと考えていた。,,
phrase17,と、その時だ。,,
phrase18,図書室の扉が開く音が聞こえ、,,
phrase19,マリアはびくっととび起きた。,,
phrase20,本棚の影から入室者を確認すると、,,
phrase21,不機嫌そうな顔の彼がいた。,,
phrase22,うう……アラン様だ……。,,
phrase23,（見つかっちゃったら,,
phrase24,また何か言われてしまうかも……）,,
phrase25,マリアは本棚の影に身を潜めた。,,
phrase26,……アランの足音が近づいてくる。,,
phrase27,マリアにとっては、その足音から,,
phrase28,彼の不機嫌が伝わってくるようで,,
phrase29,バレませんように、と身をすくませる。,,
phrase30,……チッ。,,
phrase31,本棚を隔ててすれ違うその時,,
phrase32,アランは舌打ちをひとつした。,,
phrase33,マリアはびくっと震えるも、幸いにして,,
phrase34,アランに見つかっていなかったようだ。,,
phrase35,（アラン様、今日も不機嫌みたい。,,
phrase36,はぁ、見つからなくてよかった……）,,
phrase37,マリアは安堵の息を吐くと,,
phrase38,そのまま本棚に身を隠し,,
phrase39,そっと図書室から離脱するのであった。,,
phrase40,（本棚に隠れながら遠回りすれば,,
phrase41,きっと見つからないよね……）,,
phrase42,マリアは本棚の影に隠れながら,,
phrase43,図書室の扉を目指す。,,
phrase44,遠くからアランの,,
phrase45,不機嫌そうな足音が聞こえる。,,
phrase46,（どうかバレませんように……）,,
phrase47,扉はもう目の前。,,
phrase48,マリアは音を立てないようにしながら,,
phrase49,ゆっくりと扉を開いた。,,
phrase50,だが、それでも,,
phrase51,わずかな音が出てしまい――,,
phrase52,あ。,,
phrase53,あ。,,
phrase54,アランが振り返ったのと,,
phrase55,ちょうどマリアが扉から,,
phrase56,出ようとしていたのは同時。,,
phrase57,目が合う二人の声が重なった。,,
phrase58,し、失礼しますっ！,,
phrase59,マリアはアランから何か言われる前に,,
phrase60,慌てて図書室から脱出するのであった。,,
phrase61,今日も今日とて,,
phrase62,アランと遭遇しないように,,
phrase63,こそこそと隠れる日々。,,
phrase64,マリアはキョロキョロしながら,,
phrase65,中庭を歩いていた。,,
phrase66,アラン様、この辺りにはいないみたい……。,,
phrase67,ホッと息を吐く。,,
phrase68,その時であった。,,
phrase69,花垣の向こう側から、バイオリンの,,
phrase70,美しい旋律が聞こえてくる。,,
phrase71,なんて綺麗な音色――。,,
phrase72,（誰が演奏しているんだろう？）,,
phrase73,マリアはそーっと,,
phrase74,花垣から顔をのぞかせた。,,
phrase75,そこにいたのは……。,,
phrase76,アラン様……!?,,
phrase77,人の気配に,,
phrase78,演奏を止めたアランが鋭く振り返る。,,
phrase79,あっ！,,
phrase80,え、ええと、ごめんなさい……！,,
phrase81,盗み聞きするつもりはなくて,,
phrase82,すごく綺麗な音色が聞こえたので……！,,
phrase83,……綺麗な音色？,,
phrase84,アランは顔をしかめた。,,
phrase85,まるで忌々しいものを見るように,,
phrase86,バイオリンに視線を落とす。,,
phrase87,綺麗なものかよ。,,
phrase88,ジオルドの方がもっと上手いはずだ。,,
phrase89,お前だってそう思ってるんだろ。,,
phrase90,そんなことないです！,,
phrase91,本当に……素敵な演奏でした。,,
phrase92,俺はしょせん、二番手以下だ。,,
phrase93,勉強もバイオリンも、何もかも……。,,
phrase94,どれだけ努力したって……。,,
phrase95,追いつけやしないんだ……。,,
phrase96,アランは重く溜息を吐いて背を向けた。,,
phrase97,アランが抱える悲しい重責を、マリアは察する。,,
phrase98,マリアは一歩,,
phrase99,アランの背に歩み寄った。,,
phrase100,アラン様には、アラン様の得意なものや,,
phrase101,苦手なものがあるのでしょうから。,,
phrase102,向き不向きがあっても,,
phrase103,当たり前なのではないでしょうか。,,
phrase104,……きっと、全てが完璧な人なんていないんです。,,
phrase105,私も、ジオルド様も、アラン様も……,,
phrase106,誰にだって、何かしらの苦手があって,,
phrase107,そして、得意もあるんだと思います。,,
phrase108,だからきっと,,
phrase109,アラン様はアラン様のままでいいんだと,,
phrase110,私は思いますよ。,,
phrase111,……お前……。,,
phrase112,アランが振り返る。,,
phrase113,まるで叱られた子どものような顔だった。,,
phrase114,……本当に、そう思うか？,,
phrase115,はい、思います。,,
