key,jp,en,ru
name1,マリア,,
phrase2,ここ、どこかしら……。,,
phrase3,/*,,
phrase4,可憐な庭、薔薇の香り。,,
phrase5,美しい風景に反して,,
phrase6,少女は困惑の表情を浮かべていた。,,
phrase7,魔法学園に入学したばかりの少女――,,
phrase8,マリアはその好奇心から,,
phrase9,学園内を散策していたのだが……。,,
phrase10,迷子になってしまうなんて……。,,
phrase11,どうしよう……。,,
phrase12,マリアは周囲を見渡した。,,
phrase13,すると、大きな木が目に留まる。,,
phrase14,そうだ、あの高い木に登れば,,
phrase15,今どこにいるのかわかるかも……。,,
phrase16,マリアはスカートのまま,,
phrase17,木に足をかけた。,,
phrase18,しかし。,,
phrase19,どうにか登れそうだ、と,,
phrase20,力を込めようとしたその時である。,,
phrase21,――おや。,,
phrase22,そこで何を？,,
phrase23,え？,,
phrase24,……あっ！,,
phrase25,マリアは木に登ろうとした姿勢のまま,,
phrase26,目を真ん丸にした。,,
phrase27,何故なら、そこにいたのは――。,,
name28,ジオルド,,
phrase29,ジ……ジオルド様……!?,,
phrase30,ジオルド・スティアート。,,
phrase31,この国の第三王子その人である。,,
phrase32,マリアは慌てて姿勢を正し、,,
phrase33,深々とかしずいた。,,
phrase34,申し訳ございません。,,
phrase35,はしたない姿を,,
phrase36,お見せしてしまって……！,,
phrase37,そんな服で木に登ろうと,,
phrase38,していたのですか？,,
phrase39,お転婆な方ですね。,,
phrase40,そ、その……。,,
phrase41,なんて答えよう？,,
text42,正直に話す,,
text43,ごまかす,,
phrase44,高い所から周りを見ようと……。,,
phrase45,道を確かめたくて……。,,
phrase46,なるほど。,,
phrase47,つまり迷子になっていた、と。,,
phrase48,笑顔のまま図星をつかれて,,
phrase49,マリアは「うう……」と,,
phrase50,言いよどむしかない。,,
phrase51,そんなマリアの様子に,,
phrase52,ジオルドはくつくつと笑った。,,
phrase53,おかしそうに笑うその姿すら,,
phrase54,あまりにも優雅だ。,,
phrase55,だが、今のマリアにとっては……。,,
phrase56,王子に笑われてしまった――。,,
phrase57,恥ずかしさに、マリアは,,
phrase58,熱くなった顔を下に向ける。,,
phrase59,しかし。,,
phrase60,次に発せられたジオルドの声音は,,
phrase61,とても優しく紳士的なものだった。,,
phrase62,（迷子になっていた、なんて,,
phrase63,正直に話しても笑われてしまう……）,,
phrase64,そ、その、なんでもないんです。,,
phrase65,お気になさらないでください……！,,
phrase66,なんでもない、なんて言われたら,,
phrase67,余計に気になってしまいますね。,,
phrase68,ジオルドが小首を傾げる。,,
phrase69,そんな仕草すら優美だけれど,,
phrase70,マリアにとっては、王子に「滑稽な女」と思われた気がして,,
phrase71,真っ赤な顔を下に向けるしかない。,,
phrase72,ああ、そんな顔をなさらないで。,,
phrase73,意地悪をするつもりはありません。,,
phrase74,ジオルドの声音はとても優しく,,
phrase75,紳士的なものだった。,,
phrase76,道に迷っておられたのですね？,,
phrase77,……はい……。,,
phrase78,では、寮までお送りしましょう。,,
phrase79,こちらへ、とジオルドは歩き出す。,,
phrase80,マリアは驚くが、第三王子の厚意を,,
phrase81,無下にすることなどできるはずもない。,,
phrase82,あ、ありがとうございます……！,,
phrase83,優しい人なのかもしれない。,,
phrase84,マリアはそう思いながら,,
phrase85,ジオルドについていくのであった。,,
phrase86,――なんてこともあったなぁ。,,
phrase87,ジオルドとの出会いを思い出し,,
phrase88,マリアは小さく笑った。,,
phrase89,あれからちゃんと学園の構内のことも覚え、,,
phrase90,あの時のように迷子になることは,,
phrase91,なくなった。,,
phrase92,生徒会室へは,,
phrase93,こっちが近道なんだよね。,,
phrase94,……みんな、喜んでくれるかなぁ？,,
phrase95,マリアの手には、手作りマフィンが,,
phrase96,つめられたバスケット。,,
phrase97,みんなの喜ぶ顔を想像すると、,,
phrase98,マリアの足取りも軽かった。,,
phrase99,――だが。,,
name100,カタリナ,,
phrase101,マリアさん、どちらへ？,,
phrase102,あっ……。,,
phrase103,敵意と悪意のこもった声が,,
phrase104,マリアを呼び止める。,,
phrase105,気づけば、マリアは数人の令嬢に,,
phrase106,囲まれていた。,,
phrase107,彼女たちを率いているのは,,
phrase108,カタリナ・クラエス公爵令嬢。,,
phrase109,ジオルドの婚約者である。,,
phrase110,マリアが何か言おうとする前に,,
phrase111,カタリナはマリアへつかつかと,,
phrase112,近づくと、片手を振り上げて――,,
phrase113,――バシン！,,
phrase114,バスケットを地面へと叩き落とした。,,
phrase115,甘い香りの菓子が,,
phrase116,地面に転がり出てしまう。,,
phrase117,光の魔力を持っているというだけで,,
phrase118,チヤホヤされて,,
phrase119,いい気になってるんじゃないわよ！,,
phrase120,カタリナは眉を吊り上げて,,
phrase121,大声でまくしたてると、忌々しげに,,
phrase122,落ちたマフィンを睨みつけた。,,
phrase123,こんな平民が作った貧相なものを,,
phrase124,生徒会の方々に食べさせようなんて,,
phrase125,不相応にも程があるわ！,,
phrase126,カタリナが足を上げる。,,
phrase127,マフィンを踏み潰すつもりなのだ。,,
phrase128,やめて―,,
phrase129,マリアが手を伸ばそうとした,,
phrase130,その時だ。,,
phrase131,やめなさい！,,
phrase132,ジ……ジオルド様!?,,
phrase133,この僕の目の前で,,
phrase134,秩序を乱すような行為を,,
phrase135,見過ごすわけにはいきません。,,
phrase136,くっ……！,,
phrase137,しかし、ジオルド様――,,
phrase138,カタリナ。あなたはもっと,,
phrase139,賢い人間だと思っていたのですが……。,,
phrase140,よもやこの僕に,,
phrase141,二度も説明を要求するつもりですか？,,
phrase142,そうであれば、おもしろい冗談ですね。,,
phrase143,うぐぐぅっ……！,,
phrase144,ジオルドの冷徹な態度に,,
phrase145,さすがのカタリナも反論ができない。,,
phrase146,カタリナは真っ赤な顔で,,
phrase147,マリアを睨むと、取り巻きの令嬢と共に,,
phrase148,そそくさとその場を後にした。,,
phrase149,あ、あの、ジオルド様……。,,
phrase150,迷惑をかけてしまったことへの謝罪,,
phrase151,助けてくれたことへの感謝,,
phrase152,どちらを口にすべきか迷うマリア。,,
phrase153,一方でジオルドは、おもむろに,,
phrase154,落ちていたマフィンを拾い上げると,,
phrase155,なんのためらいもなく、それを一口ほおばった。,,
phrase156,え――!?,,
phrase157,うん。,,
phrase158,とってもおいしいですね。,,
phrase159,まるで一斉に花が咲くような。,,
phrase160,そんな優しい笑みを,,
phrase161,ジオルドはマリアへと向けていた。,,
phrase162,――ドキン、と。,,
phrase163,その時、マリアの心に熱が灯った……。,,
phrase164,/*,,
phrase165,一年の終わりが近づく。,,
phrase166,マリアは登った木の上から,,
phrase167,学園の風景を眺めていた。,,
phrase168,この一年,,
phrase169,いろんなことがあったなぁ……。,,
phrase170,ジオルド様と出会ったのはここだっけ。,,
phrase171,彼にはいっぱいお世話になったなぁ…。,,
phrase172,そういえば,,
phrase173,いつも思い出にジオルドがいる。,,
phrase174,あの優しい笑顔を思い出すと,,
phrase175,マリアはつい顔が火照るのを感じた。,,
phrase176,……マリア。,,
phrase177,彼の声で名前を呼ばれたのはその時だ。,,
phrase178,木の下にジオルドがいる。,,
phrase179,あなたはいつになっても,,
phrase180,蝶のように奔放ですね。,,
phrase181,あ。,,
phrase182,くすくすとジオルドが笑う。,,
phrase183,からかわれたような心地に,,
phrase184,マリアは慌てて言い繕おうとした。,,
phrase185,だがマリアより先に,,
phrase186,ジオルドが笑顔のまま口を開く。,,
phrase187,マリア、降りておいで。,,
phrase188,両手を広げるジオルド。,,
phrase189,受け止めてあげるから。,,
phrase190,そう言われ、マリアはうろたえた。,,
phrase191,で、でも――,,
phrase192,大丈夫。,,
phrase193,……それとも、僕では不安ですか？,,
phrase194,いえ、そんな……！,,
phrase195,じゃあ、ほら。,,
phrase196,ジオルドはニコニコしたまま,,
phrase197,マリアを見上げている。,,
phrase198,どうしよう？,,
text199,跳ぶ,,
text200,ためらう,,
text201,跳ぶ,,
text202,ためらう,,
phrase203,あの笑顔は拒否を許さぬものだと,,
phrase204,マリアは既に知っていた。,,
phrase205,っ……。,,
phrase206,ジオルドの眼差しを感じて,,
phrase207,マリアは火照る顔を,,
phrase208,ついそらしてしまう。,,
phrase209,（ジオルド様が……,,
phrase210,私を、待ってる……）,,
phrase211,照れ臭さを堪えて意を決し、,,
phrase212,マリアはジオルドの方へと跳んだ。,,
phrase213,――ふわり。,,
phrase214,彼の両腕が優しくマリアを抱き留める。,,
phrase215,つかまえた。,,
phrase216,ジオルドの囁きがマリアの耳を,,
phrase217,甘くくすぐり、温かく力強い男の腕が,,
phrase218,しっかりとマリアをとらえた。,,
phrase219,……ふ。,,
phrase220,素直で……いい子ですね。,,
phrase221,ジオルドの指が、マリアの頬を,,
phrase222,褒めるように撫でる……。,,
phrase223,あ、危ないですよ？,,
phrase224,ジオルド様に何かあったら……。,,
phrase225,そんな風に言い訳をするものの、,,
phrase226,実際のところマリアは,,
phrase227,恥ずかしいだけなのだ。,,
phrase228,――ジオルドには、そんなことなど,,
phrase229,お見通しのようである。,,
phrase230,おや。,,
phrase231,僕がそんなに頼りなく見えますか？,,
phrase232,これはこれは……心外だ。,,
phrase233,わざとらしい仕草で,,
phrase234,ジオルドは溜息を吐いてみせる。,,
phrase235,もちろんその表情は、笑顔だった。,,
phrase236,（うう……ずるい……）,,
phrase237,こうなったら従う他にない。,,
phrase238,マリアはジオルドの方へと跳んだ。,,
phrase239,――ふわり。,,
phrase240,彼の両腕が優しくマリアを抱き留める。,,
phrase241,つかまえた。,,
phrase242,ジオルドの囁きがマリアの耳を,,
phrase243,甘くくすぐり、温かく力強い男の腕が,,
phrase244,しっかりとマリアをとらえた。,,
phrase245,あなたに伝えたいことがあります。,,
phrase246,明日の夕方、聖堂へ。,,
phrase247,そう言い終わると,,
phrase248,ジオルドはマリアを解放した。,,
phrase249,待っていますよ。,,
phrase250,笑顔でそう言って,,
phrase251,ジオルドは外套をひるがえし、,,
phrase252,きびすを返した。,,
phrase253,ジオルドの言いつけどおり,,
phrase254,マリアは夕暮れの中を,,
phrase255,聖堂を目指して歩いていた。,,
phrase256,ひそ、ひそ……。,,
phrase257,マリアの耳に、,,
phrase258,令嬢たちの噂話が届く。,,
name259,令嬢1,,
phrase260,聞きまして？,,
phrase261,カタリナ様、国外追放になられたとか。,,
name262,令嬢2,,
phrase263,まあ……。,,
phrase264,では、ジオルド様はどうなるの？,,
phrase265,それが、平民に気があるとか……。,,
name266,令嬢3,,
phrase267,カタリナ様の追放も,,
phrase268,その平民女が仕組んだことでは……。,,
phrase269,まさか、ジオルド様はその平民女に,,
phrase270,たぶらかされているのではなくて？,,
phrase271,おとなしそうな顔をして,,
phrase272,とんだ毒婦ですこと。,,
phrase273,ジオルド様が心配ですわ……。,,
phrase274,あの女のせいでジオルド様の,,
phrase275,評価が落ちるようなことがあったら。,,
phrase276,ふん、あんな女を選ぶなんて、私、,,
phrase277,ジオルド様には失望しましたわ！,,
phrase278,次期国王の候補としての,,
phrase279,ご自覚が足らないのではなくて？,,
phrase280,まるで自ら破滅を,,
phrase281,お選びになっているみたいですもの。,,
phrase282,シッ、例の平民女よ……。,,
phrase283,変に近寄ると,,
phrase284,私たちにも何かあるかも……。,,
phrase285,ありもしない黒い噂。,,
phrase286,悪意のトゲがマリアの心を,,
phrase287,チクチクと刺す。,,
phrase288,……っ。,,
phrase289,マリアはグッと唇を噛んで耐える。,,
phrase290,――悔しい。,,
phrase291,自分が貶されていることよりも,,
phrase292,大切な人が、自分のせいで,,
phrase293,悪く言われていること。,,
phrase294,それがマリアには悔しくて,,
phrase295,たまらなかった。,,
phrase296,同時に、ジオルドへ申し訳ない,,
phrase297,気持ちが湧いてくる。,,
phrase298,マリアは嫌な噂と嫌な気持ちを,,
phrase299,振り払うように,,
phrase300,足早にその場を通り過ぎた。,,
phrase301,マリアが聖堂のドアを開けると,,
phrase302,すでにジオルドがそこにいた。,,
phrase303,夕暮れの光が,,
phrase304,ステンドグラスから紅色に射し込み,,
phrase305,ジオルドを神秘的に照らしている。,,
phrase306,綺麗――。,,
phrase307,まるでこの世ならざる風景に,,
phrase308,マリアは、ほうっと溜息をついた。,,
phrase309,マリア、こちらへ。,,
phrase310,ジオルドが手招きをする。,,
phrase311,我に返ったマリアは、彼の隣に並んだ。,,
phrase312,ジオルド様、話って――,,
phrase313,……あなたのような人は初めてです。,,
phrase314,え？,,
phrase315,あなたは何もかもが鮮烈で……。,,
phrase316,ずっと代わり映えのないものだと,,
phrase317,思っていた日々があなたと出会ってから色がついた。,,
phrase318,気づけば僕は、ずっとあなたを,,
phrase319,目で追っていた――欲しいと思った。,,
phrase320,なのに手を伸ばせば蝶のようにするりと逃れていってしまう。,,
phrase321,かと思えば、子猫のように,,
phrase322,愛らしくこちらを見つめている……。,,
phrase323,みんな、自分から僕のものに,,
